entity_id,typology,role
C00051,structuring,structurer
C00007,structuring,structurer
C00093,structuring,structurer
C00069,structuring,structurer
C00031,structuring,structurer
C00037,structuring,structurer
C00093,fan_in_out,fan_in_sender
C00068,fan_in_out,fan_in_sender
C00078,fan_in_out,fan_in_sender
C00100,fan_in_out,fan_in_sender
C00042,fan_in_out,fan_in_sender
C00079,fan_in_out,fan_in_sender
C00076,fan_in_out,fan_in_sender
C00019,fan_in_out,fan_in_sender
C00105,fan_in_out,fan_in_sender
C00101,fan_in_out,fan_in_sender
C00106,fan_in_out,fan_in_sender
C00013,fan_in_out,fan_in_sender
C00091,fan_in_out,mule
C00064,fan_in_out,fan_in_sender
C00107,fan_in_out,fan_in_sender
C00109,fan_in_out,fan_in_sender
C00016,fan_in_out,fan_in_sender
C00029,fan_in_out,fan_in_sender
C00115,fan_in_out,fan_in_sender
C00021,fan_in_out,fan_in_sender
C00105,fan_in_out,fan_in_sender
C00041,fan_in_out,fan_in_sender
C00031,fan_in_out,fan_in_sender
C00117,fan_in_out,fan_in_sender
C00001,fan_in_out,fan_in_sender
C00019,fan_in_out,mule
C00041,fan_in_out,fan_in_sender
C00043,fan_in_out,fan_in_sender
C00014,fan_in_out,fan_in_sender
C00096,fan_in_out,fan_in_sender
C00038,fan_in_out,fan_in_sender
C00119,fan_in_out,fan_in_sender
C00100,fan_in_out,fan_in_sender
C00088,fan_in_out,fan_in_sender
C00061,fan_in_out,fan_in_sender
C00105,fan_in_out,fan_in_sender
C00106,fan_in_out,fan_in_sender
C00071,fan_in_out,fan_in_sender
C00001,fan_in_out,mule
C00057,fan_in_out,fan_in_sender
C00043,fan_in_out,fan_in_sender
C00058,fan_in_out,fan_in_sender
C00038,fan_in_out,fan_in_sender
C00025,fan_in_out,fan_in_sender
C00112,fan_in_out,fan_in_sender
C00114,fan_in_out,fan_in_sender
C00083,fan_in_out,fan_in_sender
C00103,fan_in_out,fan_in_sender
C00063,fan_in_out,fan_in_sender
C00040,fan_in_out,fan_in_sender
C00050,fan_in_out,fan_in_sender
C00028,fan_in_out,mule
C00116,pass_through,conduit
C00048,pass_through,conduit
C00021,pass_through,conduit
C00063,pass_through,conduit
C00002,community_ring,ring_member
C00070,community_ring,ring_member
C00104,community_ring,ring_member
C00069,community_ring,ring_member
C00096,community_ring,ring_member
C00109,community_ring,ring_member
C00057,community_ring,ring_member
C00063,community_ring,ring_member
C00025,community_ring,ring_member
C00072,community_ring,ring_member
C00044,community_ring,ring_member
C00060,community_ring,ring_member
C00049,community_ring,ring_member
C00098,community_ring,ring_member
C00077,community_ring,ring_member
C00046,community_ring,ring_member
C00054,community_ring,ring_member
C00012,community_ring,ring_member
C00026,community_ring,ring_member
C00048,community_ring,ring_member
C00022,community_ring,ring_member
