transaction_id,sender_id,receiver_id,amount,currency,timestamp,channel
T0000001,C00101,C00107,37858.36,SEK,2026-01-01 07:42:34,card
T0000002,C00018,C00001,9326.13,SEK,2026-01-01 10:19:54,transfer
T0000003,C00071,C00054,3452.7,SEK,2026-01-01 10:35:01,card
T0000004,C00048,C00022,21107.4,SEK,2026-01-01 11:12:32,transfer
T0000005,C00037,C00087,7640.34,SEK,2026-01-01 12:42:01,transfer
T0000006,C00017,C00065,10353.73,SEK,2026-01-01 13:24:54,card
T0000007,C00069,C00002,49528.34,SEK,2026-01-01 21:30:59,transfer
T0000008,C00025,C00037,18420.78,SEK,2026-01-01 21:40:42,transfer
T0000009,C00077,C00046,16809.63,SEK,2026-01-01 22:59:58,transfer
T0000010,C00015,C00079,12069.7,SEK,2026-01-02 00:47:41,transfer
T0000011,C00088,C00099,23805.33,SEK,2026-01-02 01:29:50,card
T0000012,C00079,C00022,6701.49,SEK,2026-01-02 03:14:20,transfer
T0000013,C00002,C00050,7042.38,SEK,2026-01-02 08:02:32,card
T0000014,C00008,C00066,7744.06,SEK,2026-01-02 08:53:30,transfer
T0000015,C00109,C00002,36207.47,SEK,2026-01-02 10:06:51,transfer
T0000016,C00116,C00059,10317.39,SEK,2026-01-02 10:08:08,card
T0000017,C00025,C00083,15219.61,SEK,2026-01-02 10:37:17,transfer
T0000018,C00080,C00056,6007.27,SEK,2026-01-02 13:48:59,transfer
T0000019,C00026,C00120,2573.27,SEK,2026-01-02 14:12:16,transfer
T0000020,C00053,C00107,8680.56,SEK,2026-01-02 14:22:34,card
T0000021,C00071,C00060,3700.23,SEK,2026-01-02 15:21:35,transfer
T0000022,C00063,C00072,44080.06,SEK,2026-01-02 15:52:46,transfer
T0000023,C00072,C00098,45241.64,SEK,2026-01-02 16:49:50,transfer
T0000024,C00106,C00005,2708.86,SEK,2026-01-02 20:01:02,card
T0000025,C00016,C00115,80300.43,SEK,2026-01-02 20:24:32,transfer
T0000026,C00048,C00116,3912.62,SEK,2026-01-02 20:51:10,transfer
T0000027,C00080,C00023,3473.63,SEK,2026-01-03 01:34:56,transfer
T0000028,C00054,C00077,27120.35,SEK,2026-01-03 04:57:42,transfer
T0000029,C00030,C00118,1724.07,SEK,2026-01-03 07:14:32,transfer
T0000030,C00012,C00054,34840.72,SEK,2026-01-03 11:24:48,transfer
T0000031,C00108,C00047,48696.08,SEK,2026-01-03 14:07:10,card
T0000032,C00098,C00063,34347.95,SEK,2026-01-03 18:15:58,transfer
T0000033,C00075,C00060,3289.52,SEK,2026-01-03 18:18:21,card
T0000034,C00047,C00017,21749.91,SEK,2026-01-03 20:19:40,transfer
T0000035,C00061,C00013,10119.46,SEK,2026-01-03 21:38:12,card
T0000036,C00109,C00080,12031.13,SEK,2026-01-03 23:41:54,card
T0000037,C00049,C00060,26990.24,SEK,2026-01-04 01:15:24,transfer
T0000038,C00042,C00072,7202.2,SEK,2026-01-04 01:45:22,card
T0000039,C00027,C00083,11760.65,SEK,2026-01-04 02:14:49,transfer
T0000040,C00022,C00012,47347.38,SEK,2026-01-04 03:14:35,transfer
T0000041,C00118,C00108,23527.86,SEK,2026-01-04 07:07:23,transfer
T0000042,C00026,C00086,4040.56,SEK,2026-01-04 07:12:32,transfer
T0000043,C00059,C00084,17026.53,SEK,2026-01-04 13:33:39,transfer
T0000044,C00001,C00031,16813.36,SEK,2026-01-04 15:10:53,transfer
T0000045,C00070,C00002,39886.2,SEK,2026-01-04 16:57:21,transfer
T0000046,C00100,C00001,9842.85,SEK,2026-01-04 17:47:34,transfer
T0000047,C00072,C00010,16678.79,SEK,2026-01-04 22:04:06,card
T0000048,C00037,C00087,6152.43,SEK,2026-01-04 22:22:23,transfer
T0000049,C00012,C00022,37840.08,SEK,2026-01-04 22:24:38,transfer
T0000050,C00007,C00009,11921.49,SEK,2026-01-04 23:02:39,transfer
T0000051,C00049,C00098,18973.14,SEK,2026-01-05 00:08:55,transfer
T0000052,C00050,C00057,13737.14,SEK,2026-01-05 08:22:05,transfer
T0000053,C00057,C00011,10924.19,SEK,2026-01-05 09:45:36,transfer
T0000054,C00054,C00022,15570.03,SEK,2026-01-05 10:34:27,transfer
T0000055,C00061,C00108,8389.17,SEK,2026-01-05 17:59:51,transfer
T0000056,C00102,C00014,2313.71,SEK,2026-01-05 20:06:57,transfer
T0000057,C00088,C00070,22443.64,SEK,2026-01-05 22:28:35,card
T0000058,C00083,C00085,16832.4,SEK,2026-01-05 22:45:27,transfer
T0000059,C00023,C00052,11023.36,SEK,2026-01-06 00:27:30,card
T0000060,C00007,C00009,3433.03,SEK,2026-01-06 01:14:31,transfer
T0000061,C00077,C00012,24578.38,SEK,2026-01-06 02:01:57,transfer
T0000062,C00057,C00006,7891.92,SEK,2026-01-06 02:23:44,card
T0000063,C00002,C00069,29669.87,SEK,2026-01-06 03:11:43,transfer
T0000064,C00026,C00022,44997.31,SEK,2026-01-06 04:03:12,transfer
T0000065,C00053,C00034,14625.29,SEK,2026-01-06 04:42:24,card
T0000066,C00072,C00025,15898.37,SEK,2026-01-06 09:37:32,transfer
T0000067,C00068,C00008,18885.42,SEK,2026-01-06 15:29:44,card
T0000068,C00071,C00093,7100.47,SEK,2026-01-06 15:31:19,card
T0000069,C00008,C00021,85092.17,SEK,2026-01-06 19:48:15,transfer
T0000070,C00084,C00005,3939.81,SEK,2026-01-06 21:46:37,card
T0000071,C00085,C00009,8040.49,SEK,2026-01-07 00:05:38,card
T0000072,C00120,C00033,111638.01,SEK,2026-01-07 01:17:18,transfer
T0000073,C00021,C00047,81860.31,SEK,2026-01-07 04:01:51,transfer
T0000074,C00063,C00044,40614.0,SEK,2026-01-07 04:10:38,transfer
T0000075,C00102,C00061,651.82,SEK,2026-01-07 05:16:08,transfer
T0000076,C00027,C00024,11809.57,SEK,2026-01-07 05:36:38,transfer
T0000077,C00065,C00084,1152.41,SEK,2026-01-07 06:54:49,transfer
T0000078,C00083,C00068,13747.45,SEK,2026-01-07 07:18:37,transfer
T0000079,C00038,C00066,79419.24,SEK,2026-01-07 11:07:39,transfer
T0000080,C00048,C00026,37429.8,SEK,2026-01-07 13:26:13,transfer
T0000081,C00100,C00039,19670.3,SEK,2026-01-07 16:14:48,transfer
T0000082,C00043,C00034,13348.52,SEK,2026-01-07 17:08:39,transfer
T0000083,C00059,C00084,4542.17,SEK,2026-01-07 20:39:50,card
T0000084,C00002,C00050,2939.76,SEK,2026-01-08 00:20:20,transfer
T0000085,C00075,C00060,3096.95,SEK,2026-01-08 00:21:15,transfer
T0000086,C00109,C00104,27660.05,SEK,2026-01-08 00:51:55,transfer
T0000087,C00114,C00086,42498.01,SEK,2026-01-08 02:37:32,transfer
T0000088,C00019,C00115,42704.08,SEK,2026-01-08 04:06:36,transfer
T0000089,C00113,C00034,10235.41,SEK,2026-01-08 04:28:49,transfer
T0000090,C00116,C00080,10369.2,SEK,2026-01-08 08:01:20,transfer
T0000091,C00079,C00007,4223.82,SEK,2026-01-08 09:02:50,card
T0000092,C00103,C00046,15680.79,SEK,2026-01-08 13:53:24,transfer
T0000093,C00120,C00062,107898.86,SEK,2026-01-08 18:08:07,card
T0000094,C00072,C00098,24536.56,SEK,2026-01-08 19:21:52,transfer
T0000095,C00009,C00110,17199.3,SEK,2026-01-08 20:56:04,transfer
T0000096,C00098,C00047,15332.62,SEK,2026-01-08 21:06:36,transfer
T0000097,C00100,C00039,21926.37,SEK,2026-01-08 23:54:42,transfer
T0000098,C00072,C00026,10366.27,SEK,2026-01-09 01:55:54,transfer
T0000099,C00038,C00066,70196.97,SEK,2026-01-09 04:29:24,transfer
T0000100,C00074,C00040,3044.68,SEK,2026-01-09 06:12:27,card
T0000101,C00072,C00026,7455.74,SEK,2026-01-09 11:06:24,card
T0000102,C00029,C00082,15734.69,SEK,2026-01-09 13:18:42,transfer
T0000103,C00010,C00012,41860.29,SEK,2026-01-09 13:31:14,transfer
